pack,kind,sha256,files,basis
scsc-mms-fsii-survey-filter-data-table-20260828-sectioned-audit,PROCESS_AUDIT,0b0db941670684ed085cab6e07e340b5644aef2a7439c51a37559eb012a5317a,40,verdict + review/plan analysis + requirement/plan evidence
scsc-mms-fsii-survey-modal-multiselect-20260903-sectioned-audit,PROCESS_AUDIT,3f83e52ddbd9fc01aea8ed54ee824ac5ef7d5040c8fd3f1fa8211002e1de34d0,49,verdict + review/plan analysis + requirement/plan evidence
scsc-mms-member-nonmember-unification-20260902-sectioned-audit,PROCESS_AUDIT,da71718a99318ba66ffa5049787415be6307ac9ce467b4ab2fa553e395c6ba73,36,verdict + review/plan analysis + requirement/plan evidence
scsc-mms-remove-child-member-website-contact-20260825-sectioned-audit,PROCESS_AUDIT,18d83de49238f99bec8f5ea913f94faf352306760192a2174573576af6780075,38,verdict + review/plan analysis + requirement/plan evidence
zcode-mcp-advisor-three-case-evidence-final,AUXILIARY_EVIDENCE,3c5e49e31916b06bdbf1ac3c739a242e7025e36bd47d89a9b5b0eec4a6ce4cf2,187,missing process-audit identity/required artifacts; runtime/conformance evidence only
zcode-mcp-case3-complete-event-logs-auth-redacted,AUXILIARY_EVIDENCE,2152501e69b9cfbbf0002dd11952cf904f67e92f4c5d823d8907b470c3cfdfe5,129,missing process-audit identity/required artifacts; runtime/conformance evidence only
zcode-mcp-case3-review-tool-guidance-sectioned-audit,PROCESS_AUDIT,5cafce66093aed57df8c00a207262baa86fbd0d3ca152ffe6237139fad73f8b8,80,verdict + review/plan analysis + requirement/plan evidence
zcode-mcp-case3-semantic-900s-full-analysis-logs-auth-redacted,AUXILIARY_EVIDENCE,56d2c4a176d133766e493f133b6423e295213068134d3919fd641f5ecde8a04e,87,missing process-audit identity/required artifacts; runtime/conformance evidence only
zcode-mcp-official-runtime-conformance,AUXILIARY_EVIDENCE,c16ee73c052a796a92a40bf2c063e70f83716d887e84cb5a16f9f5f1d50c43ea,22,missing process-audit identity/required artifacts; runtime/conformance evidence only
zcode-mcp-official-runtime-conformance-case-b,AUXILIARY_EVIDENCE,f66925388cccd302decf6646e85117ee8e982f0e74893d357e4d3c2d9f803ab2,19,missing process-audit identity/required artifacts; runtime/conformance evidence only
zcode-mcp-official-runtime-conformance-case-c,AUXILIARY_EVIDENCE,f620f3a63be3182958516c6a8bafe7dcc6862ff17645f5dabc366a049d6c6db8,20,missing process-audit identity/required artifacts; runtime/conformance evidence only
zcode-mcp-official-runtime-conformance-case-c-final,AUXILIARY_EVIDENCE,08406f138af3deef4ee701a0a972a680eef2878f7ed9d13062f8c66561458aef,20,missing process-audit identity/required artifacts; runtime/conformance evidence only
zcode-mcp-official-runtime-conformance-case-c-prompt-repaired,AUXILIARY_EVIDENCE,727ac10bbe336867cca2a3bdafec5d665460bf2eb68c2dd4aa5063c70e525a9b,20,missing process-audit identity/required artifacts; runtime/conformance evidence only
zcode-mcp-official-runtime-conformance-case-c-retry,AUXILIARY_EVIDENCE,5b04b7cb22f4ce9a35b52df72d7ea8e12e3fdc522f36127497eecdf164b017ba,20,missing process-audit identity/required artifacts; runtime/conformance evidence only
zcode-mcp-operational-general-agent-closure-20260827-sectioned-audit,PROCESS_AUDIT,dc7511d2218f590b9ad875b3b4ee2eeb19673dc15fca63fc4e9c33e7bf272ddd,86,verdict + review/plan analysis + requirement/plan evidence
zcode-mcp-review-safety-progress-evidence-review-safety-progress-evidence-sectioned-audit,PROCESS_AUDIT,991d5dd40974cb53ab9cfb5af00421b5fdbb16a6948b8d35cd7a7d2ffa7a1d93,30,verdict + review/plan analysis + requirement/plan evidence
zcode-mcp-zcode-final-generic-agent-convergence-sectioned-audit,PROCESS_AUDIT,c4a81bd442b508145500746d5bb6efca6954ff8d81b6955689b8abc1184a7d66,41,verdict + review/plan analysis + requirement/plan evidence
zcode-mcp-zcode-generic-subagent-simplification-sectioned-audit,PROCESS_AUDIT,6619e5fef731eda83290f662e806ae49bc40cc27bda16b5844929761f535182a,24,verdict + review/plan analysis + requirement/plan evidence
zcode-mcp-zcode-runtime-cancellation-late-event-fencing-sectioned-audit,PROCESS_AUDIT,7fb1e3176eb0ef2d0c5e79b5d3f1556e86d1110b16bac6731b1d16a33306164c,68,verdict + review/plan analysis + requirement/plan evidence
zcode-mcp-zcode-subagent-mcp-20260825-sectioned-audit,PROCESS_AUDIT,5cbb4cd9dfce3b9a78a6ac1ee2ed395ffcd4437cc8992704ec2501339f274747,168,verdict + review/plan analysis + requirement/plan evidence
